max_vibr,max_f1,max_f2,max_f3,max_dist,min_vibr,min_dist,mean_vibr,mean_dist,std_vibr,std_dist,labels
464.0,133.0,242.0,218.0,49.0,243.0,41.0,355.63,45.14,44.6393671550124,1.4698299221338502,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,355.09,45.13,44.31593280074335,1.4673445403176448,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,355.03,45.13,44.23877371718163,1.4673445403176446,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,355.44,45.15,44.536798268398236,1.4790199457749043,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,355.29,45.15,44.56664559959612,1.4790199457749043,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,354.56,45.11,45.22395825223617,1.509271347372632,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,353.8,45.14,45.99347779848791,1.5363593329686906,1.0
464.0,133.0,242.0,218.0,48.0,243.0,41.0,352.87,45.11,46.050766551708996,1.489261561982985,1.0
464.0,133.0,242.0,218.0,48.0,243.0,41.0,352.23,45.08,45.7656760028736,1.4810806865258894,1.0
464.0,133.0,242.0,218.0,48.0,243.0,41.0,352.35,45.1,45.86183053477041,1.5066519173319366,1.0
464.0,133.0,242.0,218.0,48.0,243.0,41.0,353.17,45.08,46.31091771925925,1.547126368465097,1.0
464.0,133.0,242.0,218.0,48.0,243.0,41.0,353.55,45.09,46.14355317918202,1.5433405327405874,1.0
464.0,133.0,242.0,218.0,48.0,243.0,40.0,353.08,45.01,46.43612386924645,1.5968406307455982,1.0
464.0,133.0,242.0,218.0,48.0,243.0,40.0,351.86,45.01,47.178177158512604,1.5968406307455982,1.0
464.0,133.0,242.0,218.0,48.0,243.0,40.0,350.33,45.02,46.247822651450306,1.593612248948909,1.0
439.0,133.0,242.0,218.0,48.0,243.0,40.0,348.9,45.02,44.90222711625783,1.593612248948909,1.0
439.0,133.0,242.0,218.0,48.0,243.0,40.0,348.3,45.03,44.128562179160106,1.5903144343179434,1.0
439.0,133.0,242.0,218.0,48.0,243.0,40.0,348.47,45.04,44.432297937423854,1.5869467539901898,1.0
439.0,133.0,242.0,218.0,48.0,243.0,40.0,348.65,45.05,44.510981791014224,1.5898113095584647,1.0
439.0,133.0,242.0,218.0,48.0,243.0,40.0,348.08,45.07,44.56044883077369,1.6015929570274712,1.0
439.0,133.0,242.0,218.0,48.0,243.0,40.0,346.74,45.08,45.37722336150593,1.5979987484350544,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,345.14,45.14,44.914367411775935,1.5557634781675522,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,344.1,45.15,44.22883674708165,1.5580436450882884,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,343.93,45.17,44.08066582981704,1.5559884318336044,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,343.93,45.17,44.08066582981704,1.5559884318336046,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,344.3,45.16,44.476623073250515,1.5473848907107757,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,343.95,45.15,44.4264279455371,1.55161206491829,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,342.79,45.15,44.90351767957606,1.55161206491829,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,341.12,45.15,44.54711662947446,1.55161206491829,1.0
436.0,133.0,242.0,218.0,48.0,243.0,40.0,339.85,45.15,43.65395171115669,1.55161206491829,1.0
